46, i, 26, 181, 235
58, O, 13, 110, 209
74, Q, 24, 129, 206
71, B, 20, 186, 334
94, u, 28, 136, 272
51, h, 10, 160, 320
56, q, 12, 166, 315
46, W, 36, 134, 227
32, x, 41, 177, 159
90, x, 15, 101, 161
27, W, 27, 102, 183
94, f, 47, 128, 256
92, F, 14, 185, 370
21, y, 9, 116, 208
10, r, 20, 178, 284
32, o, 44, 195, 273
17, d, 45, 132, 237
56, R, 29, 156, 187
27, k, 7, 178, 284
32, k, 35, 174, 330
99, M, 48, 153, 122
56, t, 7, 139, 125
55, w, 38, 155, 186
41, N, 8, 179, 250
5, K, 27, 130, 195
85, s, 49, 118, 200
60, q, 25, 153, 168
57, O, 26, 130, 234
88, A, 30, 109, 152
61, c, 38, 102, 102
90, H, 34, 100, 120
23, u, 31, 131, 144
64, T, 19, 122, 158
95, v, 40, 181, 199
19, r, 27, 162, 129
8, a, 44, 176, 334
43, p, 44, 169, 338
5, X, 8, 155, 248
45, u, 36, 188, 169
87, H, 6, 186, 241
33, Y, 24, 135, 229
42, L, 25, 124, 99
92, K, 8, 158, 158
58, Q, 27, 162, 145
93, Y, 39, 187, 187
40, b, 21, 139, 125
20, P, 36, 145, 261
92, P, 25, 198, 336
70, i, 42, 174, 243
55, U, 41, 101, 181
56, b, 6, 187, 168
21, q, 24, 144, 259
86, G, 30, 112, 145
78, v, 49, 195, 253
22, z, 8, 130, 208
33, G, 43, 151, 151
29, z, 27, 161, 193
26, t, 20, 164, 196
46, G, 37, 182, 364
3, r, 44, 179, 268
43, r, 44, 166, 315
33, i, 47, 146, 262
99, D, 39, 182, 364
56, L, 29, 111, 122
58, x, 7, 200, 160
18, V, 15, 198, 336
58, M, 40, 160, 160
96, w, 27, 126, 176
90, F, 46, 142, 127
48, m, 42, 126, 151
12, C, 39, 118, 94
69, C, 12, 150, 120
90, C, 39, 112, 123
15, b, 25, 192, 268
11, g, 18, 108, 216
40, z, 13, 176, 334
27, H, 45, 174, 295
96, P, 43, 131, 209
93, C, 46, 181, 253
2, F, 5, 127, 127
83, o, 46, 102, 163
32, j, 16, 200, 400
15, F, 18, 115, 126
14, v, 20, 163, 309
35, C, 47, 101, 171
72, j, 45, 108, 129
30, M, 37, 102, 91
81, R, 5, 148, 133
91, q, 15, 156, 156
44, A, 28, 183, 219
28, q, 34, 167, 200
74, E, 40, 199, 378
13, K, 36, 159, 318
0, X, 19, 124, 148
38, o, 17, 166, 232
65, C, 46, 183, 164
45, D, 32, 142, 241
90, x, 42, 144, 158
100, j, 33, 181, 144
93, U, 45, 195, 175
59, n, 38, 176, 246
11, P, 32, 186, 279
13, S, 43, 168, 184
7, r, 36, 162, 291
92, U, 50, 146, 233
99, A, 20, 187, 243
29, g, 22, 147, 264
66, E, 50, 190, 228
64, l, 10, 132, 145
11, X, 42, 102, 204
37, d, 25, 127, 152
21, N, 30, 107, 149
17, F, 21, 187, 187
52, D, 5, 187, 336
54, V, 10, 122, 170
57, r, 40, 146, 277
15, K, 22, 108, 140
77, Q, 34, 105, 178
57, v, 8, 114, 136
65, X, 30, 149, 119
72, q, 13, 189, 283
42, I, 13, 197, 236
52, f, 41, 175, 297
12, F, 16, 152, 136
57, d, 27, 130, 182
54, J, 8, 158, 158
8, V, 13, 146, 262
39, y, 46, 168, 319
22, o, 15, 164, 246
91, Q, 50, 178, 284
11, K, 32, 105, 199
93, i, 30, 180, 162
81, W, 33, 147, 176
46, C, 37, 150, 285
72, W, 29, 167, 167
55, c, 41, 195, 312
37, t, 11, 178, 267
100, o, 19, 173, 311
21, u, 43, 131, 144
3, W, 30, 132, 250
42, i, 39, 131, 235
99, R, 38, 116, 104
78, O, 24, 110, 121
4, I, 22, 110, 132
74, l, 25, 197, 275
100, G, 28, 182, 182
56, x, 42, 127, 152
22, p, 50, 137, 137
42, v, 21, 131, 209
4, o, 5, 186, 297
42, A, 48, 196, 333
34, R, 41, 128, 179
74, D, 9, 199, 199
28, y, 10, 186, 167
73, B, 36, 105, 199
84, b, 47, 119, 95
2, D, 30, 155, 186
2, n, 38, 190, 171
53, O, 45, 183, 329
6, j, 35, 174, 313
92, a, 33, 123, 135
12, w, 11, 152, 167
7, G, 24, 167, 167
92, l, 15, 198, 376
86, o, 15, 166, 232
96, U, 7, 101, 171
18, D, 23, 154, 200
47, s, 38, 148, 133
55, R, 48, 159, 206
72, b, 35, 101, 171
54, T, 46, 151, 151
79, E, 42, 118, 177
40, s, 20, 182, 291
62, v, 30, 109, 174
32, g, 16, 196, 352
54, c, 25, 199, 159
74, y, 36, 166, 182
55, O, 40, 157, 298
22, p, 37, 126, 100
30, n, 30, 113, 124
94, K, 42, 115, 161
7, G, 47, 159, 302
4, Y, 33, 112, 134
41, o, 18, 106, 180
82, s, 17, 174, 348
45, f, 34, 148, 133
49, a, 46, 156, 280
37, h, 8, 129, 141
2, m, 35, 113, 90
46, g, 37, 178, 178
75, K, 42, 153, 137
38, o, 28, 165, 165
67, t, 5, 188, 338
100, B, 37, 196, 372
13, f, 30, 156, 140
17, r, 42, 196, 215
86, q, 31, 103, 92
92, O, 38, 138, 234
97, x, 39, 190, 171
70, h, 24, 160, 320
46, l, 7, 191, 171
92, b, 41, 152, 152
57, p, 6, 198, 158
76, M, 42, 158, 221
82, v, 19, 103, 164
56, B, 39, 184, 349
87, u, 13, 108, 172
91, e, 24, 158, 126
25, y, 27, 131, 248
46, Y, 32, 134, 174
89, X, 46, 132, 264
97, Y, 49, 146, 189
11, g, 7, 105, 126
97, Y, 11, 180, 270
95, U, 28, 176, 352
99, X, 5, 114, 216
0, q, 29, 163, 228
77, L, 19, 170, 323
25, J, 26, 112, 156
96, F, 30, 153, 290
42, F, 47, 148, 296
78, p, 37, 194, 194
0, p, 6, 117, 175
98, q, 38, 126, 226
75, t, 49, 191, 210
64, z, 41, 173, 138
89, d, 35, 180, 270
89, U, 36, 161, 209
58, I, 31, 181, 181
67, H, 27, 177, 354
81, k, 25, 153, 290
49, Y, 43, 137, 191
91, s, 5, 155, 124
10, K, 24, 150, 270
3, L, 12, 161, 289
82, u, 7, 121, 217
29, J, 17, 153, 153
90, W, 30, 156, 124
13, F, 43, 149, 283
67, I, 29, 118, 141
12, u, 43, 100, 150
67, L, 15, 198, 178
22, A, 10, 103, 123
79, E, 14, 192, 384
64, u, 32, 109, 174
21, K, 15, 104, 83
81, G, 47, 121, 121
1, d, 6, 129, 141
29, f, 23, 142, 227
70, E, 41, 146, 292
69, X, 9, 156, 156
23, R, 48, 159, 318
7, W, 19, 184, 220
30, p, 41, 143, 228
27, J, 14, 155, 201
36, i, 18, 137, 219
49, n, 43, 198, 178
29, g, 31, 166, 332
48, f, 21, 170, 204
34, c, 24, 152, 273
2, b, 50, 100, 130
21, k, 16, 193, 193
8, Y, 20, 163, 146
39, w, 11, 140, 252
39, P, 37, 157, 141
72, O, 23, 154, 261
10, H, 42, 104, 208
61, Z, 15, 137, 109
93, I, 45, 128, 204
96, t, 9, 144, 201
7, O, 10, 192, 268
57, k, 50, 159, 127
26, x, 20, 111, 222
63, p, 31, 199, 278
9, I, 14, 137, 274
34, r, 33, 127, 101
4, P, 41, 118, 106
23, T, 31, 134, 147
33, p, 20, 130, 260
64, A, 16, 131, 262
40, O, 33, 141, 112
34, Q, 22, 181, 325
62, Z, 36, 110, 220
62, y, 39, 188, 263
54, o, 23, 102, 204
80, A, 6, 156, 171
15, a, 11, 140, 182
13, L, 21, 195, 292
21, g, 9, 120, 108
54, n, 16, 154, 292
27, h, 21, 145, 246
75, G, 39, 111, 177
53, A, 47, 182, 291
23, f, 34, 147, 294
98, O, 29, 103, 154
61, F, 10, 175, 280
47, n, 36, 126, 138
85, O, 9, 158, 158
83, p, 41, 164, 180
50, Z, 7, 161, 322
59, B, 8, 175, 192
27, s, 39, 126, 100
81, i, 43, 159, 206
1, i, 5, 185, 351
94, e, 26, 165, 165
8, X, 17, 162, 243
2, b, 16, 111, 166
